"param","estimator","scenario_id","R","cov_90","cov_95","mcse_90","mcse_95","mean_width_90","mean_width_95","width_ratio_95_90"
"alpha_poverty","E_UW","S0",200,93,97,1.80416185526687,1.20623380818148,0.115283209621325,0.137446939895143,1.19225462534067
"alpha_poverty","E_UW","S3",200,89.5,96,2.16766002869454,1.3856406460551,0.11864714155005,0.14145542390709,1.19223625667727
"alpha_poverty","E_UW","S4",200,92.5,97.5,1.86245805321892,1.10397010829098,0.125338477383725,0.149451512871237,1.19238334461085
"alpha_poverty","E_WT","S0",200,81,89,2.77398630133604,2.21246468898376,0.1195101873466,0.142381298526936,1.19137373715268
"alpha_poverty","E_WT","S3",200,58.5,67.5,3.48407089480108,3.31191032487294,0.120334529188185,0.143417249004112,1.19182125007386
"alpha_poverty","E_WT","S4",200,53,61,3.52916420700426,3.44891287219611,0.118655142166207,0.141397573982033,1.19166832048433
"alpha_poverty","E_WS","S0",200,88.5,96,2.25582579114612,1.3856406460551,0.146344463140663,0.174380183374829,1.19157349470214
"alpha_poverty","E_WS","S3",200,82,87.5,2.71661554144123,2.33853586673371,0.20592256841176,0.245371874480441,1.19157349470214
"alpha_poverty","E_WS","S4",200,86,89.5,2.45356882927706,2.16766002869454,0.244091752187514,0.290853262182045,1.19157349470214
"beta_poverty","E_UW","S0",200,93,96.5,1.80416185526687,1.2995191418367,0.055247908410295,0.0658342320134433,1.19161492095827
"beta_poverty","E_UW","S3",200,89,95,2.21246468898376,1.54110350074224,0.05365222622562,0.0639384489695147,1.19172033422507
"beta_poverty","E_UW","S4",200,91,96,2.02361063448481,1.3856406460551,0.0527568986796465,0.0628750233404423,1.19178770765575
"beta_poverty","E_WT","S0",200,76.5,86,2.998124413696,2.45356882927706,0.0562214068916852,0.0671032617320839,1.19355358469352
"beta_poverty","E_WT","S3",200,62.5,70.5,3.42326598440729,3.22470928922283,0.055990239229276,0.0666607936181458,1.19057883187773
"beta_poverty","E_WT","S4",200,56.5,64,3.50553134346279,3.39411254969543,0.05489561288785,0.0654188251899131,1.19169495973315
"beta_poverty","E_WS","S0",200,86.5,91.5,2.41635055403805,1.9719913792915,0.0685047522861177,0.0816284470852736,1.19157349470214
"beta_poverty","E_WS","S3",200,82.5,88.5,2.68677315752559,2.25582579114612,0.0920450463012827,0.10967843749124,1.19157349470214
"beta_poverty","E_WS","S4",200,84,89.5,2.59229627936314,2.16766002869454,0.104997270207728,0.125111964195607,1.19157349470214
"log_kappa","E_UW","S0",200,91.5,96,1.9719913792915,1.3856406460551,0.0746808875,0.0890633012442007,1.1925849333834
"log_kappa","E_UW","S3",200,92,96.5,1.91833260932509,1.2995191418367,0.071029411625,0.0846591372484164,1.1918884770632
